person_id,name,license_id,address_street_number,address_street_name,ssn
783908,Maria Joseph,406034,938,"Liberty Market, Lahore",823037262
163584,Kiran Iqbal,596262,1242,"Murree Road, Saddar, Rawalpindi",488091051
211174,Bushra Bano,450782,1710,"F-10 Markaz, Islamabad",240918722
685349,Sikandar Ali,965544,2448,"The Mall, Lahore",705684074
671209,Sher Ali,146094,1016,"Anarkali Bazaar, Lahore",514490853
906662,Iqbal Khan,732604,2077,"G-9 Markaz, Islamabad",315967701
829144,Sikandar Ali,433460,2030,"Jinnah Avenue, Blue Area, Islamabad",941437062
726645,Abdul Qadir,913240,900,"G-10 Markaz, Islamabad",984824143
847097,Sonia Peter,678173,1736,"Satellite Town, Rawalpindi",627358118
873280,Sikandar Ali,493022,3004,"Peshawar Road, Rawalpindi",794896490
208998,Sher Ali,222021,2893,"Saddar Bazaar, Rawalpindi",186221640
832958,Sonia Peter,780515,1050,"Iqbal Avenue, Islamabad",649586402
296546,Parveen Akhtar,268601,1475,"Model Town, Lahore",912273887
942332,Kiran Iqbal,310872,2437,"College Road, Rawalpindi",384787991
467775,Mazhar Hussain,350212,4847,"Satellite Town, Rawalpindi",402652826
861357,Nighat Awan,163659,4617,"F-7 Markaz, Islamabad",708033854
869414,Bushra Bano,658249,4135,"Chandni Chowk, Rawalpindi",518369573
243035,Vikram Singh,322253,2782,"G-9 Markaz, Islamabad",748911959
238098,Chand Bibi,282639,4950,"Chandni Chowk, Rawalpindi",116089202
258307,Mohammad Rafique,831800,1354,"Gulshan-e-Ravi, Lahore",999512404
350891,Gulzar Khan,777694,3879,"Saddar Bazaar, Rawalpindi",894025222
880363,Chand Bibi,889822,2075,"G-8 Markaz, Islamabad",126724620
479833,Kiran Iqbal,443227,1603,"Jinnah Avenue, Blue Area, Islamabad",153611444
221016,Nighat Awan,586037,3267,"Model Town, Lahore",340931089
491310,Meera Devi,711470,4070,"Anarkali Bazaar, Lahore",242342586
390019,Farah Naz,155274,2662,"Committee Chowk, Rawalpindi",738600083
232029,Maria Joseph,256920,1538,"Liberty Market, Lahore",871751693
496487,Gulzar Khan,405601,1389,"Bahria Town, Rawalpindi",294095664
